Name	Yearly RevPAR	Average Daily Rate	Avg. Occupancy Rate	Revenue	# of Listings
Santa Rosa Beach, FL	119116	431	0.55	256813184	2156
Lahaina, HI	104805	438	0.62	297961184	2843
Destin, TX	88608	362	0.56	242698432	2739
Kihei, HI	78311	357	0.65	290220704	3706
Hilton Head Island, SC	74819	361	0.53	283266624	3786
Davenport, IA	64064	258	0.63	605083648	9445
Kissimmee, FL	61955	284	0.6	1439770880	23239
Panama City Beach, FL	60351	264	0.57	292159840	4841
Honolulu, HI	42789	235	0.65	235383056	5501
Nashville, TN	38774	288	0.56	268123888	6915
New Orleans, LA	34922	251	0.5	230661376	6605
San Diego, CA	34281	244	0.58	320217504	9341
Austin, TX	31222	273	0.49	246188256	7885
Los Angeles, CA	25980	187	0.59	442019136	17014
New York, NY	22269	172	0.57	741167296	33282
